id,BTS,TA,ts
666017186736189,BTS1,NE10,1643583600
666016122579901,BTS2,O4,1643583600
666013238564786,BTS1,NE7,1643583600
666012569468806,BTS2,O4,1643583600
666012822170830,BTS5,O12,1643583600
666018066872029,BTS3,SE7,1643583600
666012105726518,BTS2,SE5,1643583600
666012896356906,BTS1,NE9,1643583600
666015060519684,BTS1,NE8,1643583600
666017124216327,BTS4,SE15,1643583600
666014848448124,BTS5,O16,1643583600
666013357706823,BTS1,NE10,1643583600
666011885807340,BTS4,SE16,1643583600
666018613089768,BTS5,O10,1643583600
666017387781880,BTS5,O11,1643583600
666015810502108,BTS1,NE8,1643583600
666015128937798,BTS1,SE9,1643583600
666018980493661,BTS1,NE9,1643583600
666019519174916,BTS3,SE7,1643583600
666012562127846,BTS1,NE8,1643583600
666010059592725,BTS4,SE14,1643583600
666019737277663,BTS2,O11,1643583600
666012792288997,BTS2,O4,1643583600
666017627375762,BTS4,SE16,1643583600
666019480004160,BTS2,O10,1643583600
666018286546775,BTS1,NE10,1643583600
666015674303418,BTS2,O5,1643583600
666011406075152,BTS5,O10,1643583600
666019631111249,BTS3,SE6,1643583600
666017572722674,BTS2,O4,1643583600
666014844907583,BTS1,O1,1643583600
666016974533466,BTS5,O11,1643583600
666019733608394,BTS3,SE6,1643583600
666013824202554,BTS5,O8,1643583600
666012713909896,BTS5,O13,1643583600
666011153636244,BTS4,SE17,1643583600
666011722360240,BTS3,SE6,1643583600
666019622458070,BTS3,SE8,1643583600
666012121453392,BTS3,SE14,1643583600
666017735770629,BTS3,SE8,1643583600
666017652409667,BTS5,O11,1643583600
666014607919324,BTS2,O3,1643583600
666017921381802,BTS5,O12,1643583600
666010505638805,BTS1,NE9,1643583600
666014831541533,BTS2,O9,1643583600
666011903503685,BTS2,O4,1643583600
666011430455616,BTS5,O13,1643583600
666011087838622,BTS3,SE8,1643583600
666019949088179,BTS5,O12,1643583600
666013362161176,BTS2,O4,1643583600
666011261895570,BTS3,SE7,1643583600
666010601716344,BTS3,SE8,1643583600
666011471754837,BTS3,SE5,1643583600
666019050222163,BTS1,NE9,1643583600
666013926172132,BTS2,O5,1643583600
666010689529076,BTS5,O17,1643583600
666015045312625,BTS3,SE7,1643583600
666016908735732,BTS2,O5,1643583600
666013451028156,BTS5,O11,1643583600
666017757660696,BTS1,NE11,1643583600
666012178209725,BTS1,NE9,1643583600
666019976088639,BTS2,O5,1643583600
666012916279131,BTS1,NE9,1643583600
666019957737793,BTS1,NE10,1643583600
666011821450650,BTS5,O17,1643583600
666019348407622,BTS4,SE18,1643583600
666015063139460,BTS3,SE5,1643583600
666019175661370,BTS4,SE17,1643583600
666015332078594,BTS5,O10,1643583600
666015461711292,BTS2,O3,1643583600
666019872540464,BTS4,SE16,1643583600
666019165824608,BTS2,O3,1643583600
666013240657725,BTS5,O11,1643583600
666010516645309,BTS2,O13,1643583600
666010191452634,BTS2,O4,1643583600
666010399075406,BTS2,O5,1643583600
666012293816136,BTS5,O15,1643583600
666018811796438,BTS3,SE7,1643583600
666016025197602,BTS4,SE15,1643583600
666017837748240,BTS5,O10,1643583600
666012717574035,BTS2,O5,1643583600
666013108539125,BTS1,NE10,1643583600
666019073026639,BTS4,SE14,1643583600
666018100551729,BTS2,O5,1643583600
666014975458739,BTS5,O12,1643583600
666017866846704,BTS4,SE16,1643583600
666017534706997,BTS3,SE8,1643583600
666019576581044,BTS2,O5,1643583600
666015860959730,BTS3,SE7,1643583600
666018828179598,BTS5,O9,1643583600
666017158036230,BTS2,O5,1643583600
666019580119934,BTS1,NE3,1643583600
666015915222238,BTS4,SE15,1643583600
666010254627095,BTS2,O5,1643583600
666010415066013,BTS5,O12,1643583600
666016652877573,BTS4,SE18,1643583600
666010112809097,BTS4,SE16,1643583600
666011696932465,BTS5,O11,1643583600
666014799031362,BTS3,SE8,1643583600
